gene_name,protein_id,effect_type,effect_size,log_transformed_f_statistic,fdr
rtcR,A0A0H2ZH72,expression/solubility,0.07213818036556785,0.18739892787209395,0.510958312470691
PA14_72010,A0A0H2ZJG6,stability,0.05239955906571925,0.18666249276542754,0.507358225464745
gapA,A0A0H2ZDK8,stability,-0.15691534191856762,0.18635811155293153,0.314474592262242
treA,A0A0H2ZBA3,stability,0.2401584592287017,0.1860663305337723,0.31037774211657
PA14_27450,A0A0H2ZCU2,stability,0.1955430810893318,0.1823444575267076,0.312320658103941
bfrB,A0A0H2ZEH2,stability,0.35015511384028064,0.18155834937699522,0.308938159623679
PA14_24240,A0A0H2ZDD9,expression/solubility,0.22919009330416307,0.18105418049336153,0.515125446795332
PA14_48320,A0A0H2Z749,stability,0.08800385179211812,0.17801300819635302,0.516390374920195
PA14_09570,A0A0H2ZF61,expression/solubility,0.08942846922806966,0.1756460536674052,0.516626746506986
guaB,A0A0H2ZEW8,stability,0.18147304684057367,0.17504206311440162,0.316218478853952
PA14_15240,A0A0H2ZFA0,stability,0.10855590081681415,0.17262922778142614,0.518778174579943
mexH,A0A0H2ZGA2,stability,0.3328178131975061,0.17142800459771612,0.284014520879826
PA14_60050,A0A0H2ZHA5,stability,-0.11070431454934801,0.17067697945667656,0.176831657603472
PA14_40700,A0A0H2Z9L4,stability,-0.23265262449720822,0.17027601387630417,0.273931000971817
PA14_15650,A0A0H2ZEV1,expression/solubility,0.05385291611607581,0.16952428726434166,0.520722771313112
PA14_25620,A0A0H2ZCW3,expression/solubility,0.14666031823802567,0.16899827428851175,0.322620756706381
surE,Q02R97,stability,0.43911735052234047,0.16887117919308142,0.264495716719919
fumC1,A0A0H2ZFR2,expression/solubility,-0.12139109935883692,0.1666353095727516,0.175470173790512
PA14_23240,A0A0H2ZDD8,stability,-0.39420432155861757,0.16648807893327272,0.322418091012891
PA14_21820,A0A0H2ZDL5,stability,-0.12159661075601977,0.16482941739770363,0.320765545090702
PA14_68230,A0A0H2ZIY4,stability,0.10430415441466846,0.16443979373670004,0.527480617609086
nadE,Q02F98,stability,-0.10168725614550723,0.16316674139584347,0.319032990036071
pyrE,Q02E31,stability,0.10922048902527404,0.16295353957689154,0.314257626366268
PA14_63780,A0A0H2ZHY6,stability,-0.1466814070217388,0.16188091383711994,0.174313684424086
phhR,A0A0H2Z785,stability,0.11836901357314765,0.16106105618992594,0.530431996275777
PA14_19010,A0A0H2ZEH3,stability,-0.1745764468364934,0.15908127507838915,0.266322772763928
PA14_56790,A0A0H2ZGK3,stability,-0.05720410549932933,0.15879880404738525,0.529861677704257
PA14_19940,A0A0H2ZEE0,expression/solubility,0.1417473155309581,0.15714496755089816,0.173532904236425
PA14_31800,A0A0H2ZAI6,stability,0.2046156300867872,0.15627410446547635,0.323084068108104
ampG,A0A0H2ZGW0,stability,0.1287522305476724,0.15557877617603938,0.170104392556357
glgP,A0A0H2Z9I5,expression/solubility,0.14454090930647975,0.1548555393417151,0.534226826142674
PA14_27550,A0A0H2ZCR7,expression/solubility,0.10904825489648612,0.15439357131171674,0.530514879728124
PA14_51570,A0A0H2Z7I9,expression/solubility,0.1619668648748287,0.1537652557833605,0.261027054739542
PA14_24590,A0A0H2ZDD1,stability,-0.17185424936701457,0.15351673233319527,0.52730205261092
PA14_40070,A0A0H2Z9Y0,stability,-0.06608621056685804,0.151576293438503,0.525717350869199
orfH,A0A0H2ZDN3,stability,-0.609993188118597,0.14809583682712799,0.336153618929794
PA14_57170,A0A0H2ZGF9,expression/solubility,0.05880474711640976,0.14739135311037124,0.530522691515925
