representative,clustername,nObs,min_qupm,max_qupm,nCoeffsH0,nCoeffsH1,rssH0,rssH1,pEC50H1,slopeH1,pEC50_slopeH1,detected_effectH1,df1,df2,F_statistic,nObsRound,rssH1Squeezed,dataset,max_rank,rank,is_decoy,all_null,all_true,true_cumsum,null_cumsum,remaining_null,remaining_true,pi,FDR
yfcG,yfcG,50,6,6,10,24,2.29933802895279,0.291511988954176,2.30102999566398,11.9501082653051,-0.0133581318211686,stability,14,26,13.467934375865,50,0.0106487113548157,true,95243,37,0,94300,943,15,22,94278,928,0.984322959757314,0.0144367367431073
tdh,tdh,50,4,12,10,24,4.08620980429256,0.538565397195911,3.15286011950088,6.92971516268457,0.0123912105463103,stability,14,26,13.3493459578694,50,0.0189824409926311,true,95243,38,0,94300,943,16,22,94278,927,0.983262266912747,0.0135198561700503
wrbA,wrbA,50,5,10,10,24,0.761186805444729,0.0838784012589235,3.28049027779148,-1.42019442628469,-0.00579230558792673,stability,14,26,13.2738022436315,50,0.00364471090043313,true,95243,39,0,94300,943,17,22,94278,926,0.982201574068181,0.0127108438997059
galT,galT,50,4,14,10,24,1.84470121352453,0.23632363510974,3.30250360770906,5.4681517589989,0.01179300261023,stability,14,26,13.0742228756854,50,0.00878707008716884,true,95243,41,0,94300,943,18,23,94277,925,0.981151288225124,0.012536933127321
ypfH,ypfH,20,3,6,4,12,0.494487552028583,0.0265390851245373,3.31922568513489,2.72652086224122,0.0195469651689063,stability,8,8,12.919677536237,20,0.00452747819741966,true,49086,36,0,48600,486,9,27,48573,477,0.982027052065963,0.0294608115619789
ygiQ,ygiQ,20,20,28,4,12,0.43876681308024,0.0216502974127624,3.29825730604684,3.31811525403838,0.0183486694825048,stability,8,8,12.7769802603386,20,0.00408074235038797,true,49086,37,0,48600,486,10,27,48573,476,0.979968295143392,0.0264591439688716
yhiN,yhiN,40,5,12,8,20,1.36800781209227,0.164280769881597,2.30102999566398,1.68099400770501,-0.0209527553860605,stability,12,20,12.5430677318794,40,0.00799729292666901,true,38784,23,0,38400,384,5,18,38382,379,0.987442030118285,0.0355479130842582
mnmC,mnmC,20,9,13,4,12,0.480529140267775,0.0273566497036587,3.3719912422846,-1.49573040865733,0.0226966876097743,stability,8,8,12.3086179461907,20,0.00460218698542395,true,49086,39,0,48600,486,11,28,48572,475,0.97792967141563,0.0248927552723979
topB,topB,20,8,22,4,12,0.495395881330533,0.0298199551328006,3.32089312973479,2.28477658782253,0.0188807026956863,stability,8,8,12.0558480336394,20,0.00482728304241472,true,49086,42,0,48600,486,12,30,48570,474,0.975911056207535,0.0243977764051884
recJ,recJ,20,3,15,4,12,0.505664105182527,0.0309131765150539,4.30102999566398,3.8115959434107,0.0293466211440037,stability,8,8,12.0441816421842,20,0.00492718126033443,true,49086,43,0,48600,486,13,30,48570,473,0.973852172122709,0.0224735116643702
aas,aas,40,4,23,8,20,1.72599839323495,0.228133444322831,3.92234065679101,5.23235777980813,0.0177037820717217,stability,12,20,11.6831995283585,40,0.0106838951755494,true,38784,32,0,38400,384,6,26,38374,378,0.985041955490697,0.0426851514045969
wecG,wecG,30,7,11,6,16,0.304010940405426,0.0202047703619894,3.32235027752393,4.84475593432723,0.00306213587870708,stability,10,14,11.6058949308855,30,0.00244536222095355,true,37370,66,0,37000,370,10,56,36944,360,0.97444781290602,0.0545690775227371
trpB,trpB,50,6,13,10,24,0.933542705619251,0.124613288934801,3.3029767317172,5.65914059843166,0.0196732615290396,expression/solubility,14,26,11.5128448718103,50,0.00501880058870562,true,95243,54,0,94300,943,19,35,94265,924,0.980215350342121,0.0180565985589338
pspF,pspF,30,2,8,6,16,3.49724092379981,0.432587753234718,3.21185597510769,3.62015634940991,0.0183864179186848,stability,10,14,11.3914004620221,30,0.0269032168676921,true,37370,68,0,37000,370,11,57,36943,359,0.971767317218418,0.0503552155285907
dkgB,dkgB,50,3,9,10,24,1.98396175348939,0.296258042875541,3.28225422804013,3.21815554528985,0.0165979568471416,stability,14,26,11.1529660976169,50,0.0108088076291745,true,95243,59,0,94300,943,20,39,94261,923,0.979196061998069,0.0190943232089624
envC,envC,30,2,9,6,16,0.336639091818934,0.0259820909394609,3.32084132063085,2.49656855866583,0.017126849618759,stability,10,14,11.1426192022845,30,0.00278800697789062,true,37370,73,0,37000,370,12,61,36939,358,0.969165380762879,0.0492659068554464
rnd,rnd,20,12,15,4,12,0.579001869321915,0.0428638075119107,3.32121139572909,7.53740129439102,0.0208275638628787,stability,8,8,11.1338662002893,20,0.00601922607301577,true,49086,58,0,48600,486,14,44,48556,472,0.972073482164923,0.0305508808680404
nirB,nirB,20,19,34,4,12,0.717647816392236,0.0604571246503651,3.72138522620357,0.475876336668317,0.0780104586895937,stability,8,8,10.7709372004116,20,0.00762689772850911,true,49086,62,0,48600,486,15,47,48553,471,0.970073939818343,0.0303956501143081
rfbA,rfbA,50,6,17,10,24,0.693977797065427,0.0953608615872461,2.86886063013514,-6.81801780027667,-0.0143826972629725,stability,14,26,10.6046369880614,50,0.00403204301875611,true,95243,68,0,94300,943,21,47,94253,922,0.978218199951195,0.0218934549512887
lptF,lptF,50,2,6,10,24,4.77812937424098,0.781825568053506,3.20490210999129,4.83097117031676,0.0103194775927031,stability,14,26,10.4990441384056,50,0.0271882152420289,true,95243,70,0,94300,943,22,48,94252,921,0.977167593260621,0.0213200202165954
ybfF,ybfF,50,2,9,10,24,1.32137162915568,0.20175982455578,3.09147373080355,-12.7751098429288,-0.0195911960614968,stability,14,26,10.4934702613073,50,0.00762114627150738,true,95243,71,0,94300,943,23,48,94252,920,0.976106607817341,0.0203709205109706
yffS,yffS,50,5,13,10,24,1.74985804261262,0.274001561288461,3.36785449081261,6.54655978596876,0.0181055482153075,stability,14,26,10.4809994345351,50,0.0100580408150035,true,95243,72,0,94300,943,24,48,94252,919,0.975045622374061,0.0195009124474812
gshA,gshA,30,2,19,6,16,1.3918137195157,0.178596922733403,3.32587531711562,6.66722337018202,-0.0163730850957269,stability,10,14,10.2473018331538,30,0.0118393779800367,true,37370,86,0,37000,370,13,73,36927,357,0.966772280445203,0.0542879819019229
glsA2,glsA2,50,7,9,10,24,0.702686880145032,0.101127816481488,3.39515751380891,2.17432830453208,0.0220779578257236,stability,14,26,10.1662660351647,50,0.00422657683743173,true,95243,84,0,94300,943,25,59,94241,918,0.974098322386223,0.0229887204083149
murG,murG,30,7,12,6,16,0.309073743982307,0.0264693611522674,3.38038777426203,2.07809368268341,0.00318619696114784,stability,10,14,10.0324382090028,30,0.00281690628880662,true,37370,95,0,37000,370,14,81,36919,356,0.964273138492375,0.0557900887270589
pepT,pepT,50,2,15,10,24,0.906728271238889,0.140123612418078,2.90431302663489,4.9617071508476,-0.0177188380292222,stability,14,26,9.880449268186,50,0.00554200260977719,true,95243,89,0,94300,943,26,63,94237,917,0.973078514808409,0.0235784409357422
hflX,hflX,30,8,19,6,16,0.799130542851197,0.0995954013046856,2.97816712296159,0.594662935202644,0.0599477978166397,stability,10,14,9.778362491199,30,0.00715390886946692,true,37370,102,0,37000,370,15,87,36913,355,0.961720802969144,0.0557798065722103
ydcP,ydcP,20,9,22,4,12,0.508538950303146,0.0426174739859731,3.32271727113717,2.09000277016902,0.0225640521098609,stability,8,8,9.71201281642092,20,0.00599671619472897,true,49086,71,0,48600,486,16,55,48545,470,0.968173859305799,0.0332809764136368
yccS,yccS,30,6,9,6,16,1.02986206469111,0.136866897458116,3.32018053000584,3.5496374540316,0.0153007264842441,stability,10,14,9.53603448470296,30,0.00936442887937823,true,37370,109,0,37000,370,16,93,36907,354,0.959167637575528,0.0557516189340775
dsbD,dsbD,50,3,8,10,24,0.441926619470561,0.0627122849253605,3.30785447687193,3.4821639256648,0.0111898885958807,stability,14,26,9.24233413598329,50,0.00293072483457863,true,95243,98,0,94300,943,27,71,94229,916,0.972099884324359,0.0255626265877887
rplD,rplD,50,8,17,10,24,0.783761696086432,0.126738355009399,4.03845870430204,-0.640030621400131,0.0333483892372581,stability,14,26,9.21920884168956,50,0.00509048438474888,true,95243,99,0,94300,943,28,71,94229,915,0.971038639909158,0.0246227655119822
tktA,tktA,50,8,30,10,24,0.610454846340377,0.0955352927645976,3.04455936966432,-5.19734070836086,-0.0186138163977656,stability,14,26,9.10862626814115,50,0.00403792701883042,true,95243,103,0,94300,943,29,74,94226,914,0.970008277969987,0.0247519353688893
selB,selB,20,15,24,4,12,0.609247049876382,0.0601071357513593,3.3226386652579,2.45481612183831,0.0188713336145675,stability,8,8,9.03795256862028,20,0.00759491585560585,true,49086,78,0,48600,486,17,61,48539,469,0.966233338140464,0.0346707256626873
mukB,mukB,30,3,83,6,16,6.56933575301319,1.0154269659337,3.23040637274874,4.63470560023784,0.0164982557674712,stability,10,14,9.03506655853355,30,0.0614705907377502,true,37370,128,0,37000,370,17,111,36889,353,0.956924828539673,0.062481562334061
yejB,yejB,20,2,2,4,12,0.599744794148862,0.0590560554668284,3.24199996809126,3.73024360398114,0.020817234351555,stability,8,8,9.01283874185724,20,0.00749886847762761,true,49086,79,0,48600,486,18,61,48539,468,0.964173139125239,0.0326747563814664
ydhQ,ydhQ,40,3,11,8,20,0.392277861986067,0.0495717112377975,3.36536627877546,0.757693026821329,0.0328614957885768,stability,12,20,9.00652117699304,40,0.00317090753848912,true,38784,60,0,38400,384,7,53,38347,377,0.98312775445276,0.0744368156942804
coaE,coaE,20,3,3,4,12,0.673791488654343,0.0700740161252079,2.77735401858217,2.77375482780001,0.00969630303326307,stability,8,8,8.87226292068881,20,0.00850568617507597,true,49086,80,0,48600,486,19,61,48539,467,0.962112940110015,0.0308888891298478
pfkA,pfkA,50,6,15,10,24,2.00653806157383,0.368014116262811,3.29107279340588,4.41940339714822,0.0148270641101098,stability,14,26,8.84682121214801,50,0.0132293195328016,true,95243,111,0,94300,943,30,81,94219,913,0.969018987677645,0.0261635126672964
ldhA,ldhA,50,4,12,10,24,1.68226609523319,0.307238389151357,3.31322708504805,4.63887975926062,0.0153712599418978,stability,14,26,8.78562379520162,50,0.0111792021841151,true,95243,120,0,94300,943,31,89,94211,912,0.968039825498084,0.0277921111191385
rbsA,rbsA,30,9,21,6,16,0.455683142932545,0.0559458168022729,3.32489656155349,3.52244438788598,0.0156377122964367,stability,10,14,8.75635039327736,30,0.00456511341114408,true,37370,138,0,37000,370,18,120,36880,352,0.954446854663774,0.0636297903109183
birA,birA,20,7,8,4,12,0.388067959561551,0.0326601742792786,3.3254076468236,1.62968061217737,0.020153296056519,stability,8,8,8.73354302670353,20,0.00508682135353865,true,49086,83,0,48600,486,20,63,48537,466,0.960092300719039,0.0302429074726497
dsdA,dsdA,40,3,8,8,20,0.640751857223083,0.100485094666757,3.23584497721171,4.20502893900863,0.0150275637749052,stability,12,20,8.4738333729317,40,0.00531308892110664,true,38784,69,0,38400,384,8,61,38339,376,0.980724588539086,0.0747802498761053
dgt,dgt,50,4,12,10,24,0.670208677820859,0.115132727465226,4.06381448404765,-15.0395985007967,0.00133666681434125,stability,14,26,8.4376043893659,50,0.00469899752804589,true,95243,136,0,94300,943,32,104,94196,911,0.967132362308378,0.0314318017750223
